S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER,,
19,"And now, little children, abide in him; that, when he shall appear, we may have confidence, and not be ashamed before him at his coming.",1JOHN 2:22,1JOHN 2:25,1JOHN 2:27,1JOHN 2:28,4,,1Jn5:21
20,"Behold what manner of love the Father hath bestowed upon us, that we should be called the sons of God: therefore the world knoweth us not, because it knew him not.",1JOHN 3:1,1JOHN 3:2,1JOHN 3:4,1JOHN 3:6,1,,
21,"Beloved, now are we the sons of God, and it doth not yet appear what we shall be: but we know that, when he shall appear, we shall be like him; for we shall see him as he is.",1JOHN 3:1,1JOHN 3:2,1JOHN 3:4,1JOHN 3:6,2,,
22,Whosoever committeth sin transgresseth also the law: for sin is the transgression of the law.,1JOHN 3:1,1JOHN 3:2,1JOHN 3:4,1JOHN 3:6,3,,
23,"Whosoever abideth in him sinneth not: whosoever sinneth hath not seen him, neither known him.",1JOHN 3:1,1JOHN 3:2,1JOHN 3:4,1JOHN 3:6,4,,
24,"He that committeth sin is of the devil; for the devil sinneth from the beginning. For this purpose the Son of God was manifested, that he might destroy the works of the devil.",1JOHN 3:8,1JOHN 3:9,1JOHN 3:11,1JOHN 3:15,1,,
25,"Whosoever is born of God doth not commit sin; for his seed remaineth in him: and he cannot sin, because he is born of God.",1JOHN 3:8,1JOHN 3:9,1JOHN 3:11,1JOHN 3:15,2,,
26,For this is the message that ye heard from the beginning that we should love one another.,1JOHN 3:8,1JOHN 3:9,1JOHN 3:11,1JOHN 3:15,3,,
27,Whosoever hateth is brother is a murderer: and ye know that no murderer hath eternal life abiding in him.,1JOHN 3:8,1JOHN 3:9,1JOHN 3:11,1JOHN 3:15,4,,
28,"Hereby perceive we the love of God, because he laid down his life for us: and we ought to lay down our lives for the brethren.",1JOHN 3:16,1JOHN 3:18,1JOHN 3:20,1JOHN 3:22,1,,
29,"My little children, let us not love in word, neither in tongue; but in deed and in truth.",1JOHN 3:16,1JOHN 3:18,1JOHN 3:20,1JOHN 3:22,2,,
30,"For if our heart condemn us, God is greater than our heart, and knoweth all things.",1JOHN 3:16,1JOHN 3:18,1JOHN 3:20,1JOHN 3:22,3,,
31,"And whatsoever we ask, we receive of him, because we keep his commandments, and do those things that are pleasing in his sight.",1JOHN 3:16,1JOHN 3:18,1JOHN 3:20,1JOHN 3:22,4,,
32,"Beloved, believe not every spirit, but try the spirits whether they are of God: because many false prophets are gone out into the world.",1JOHN 4:1,1JOHN 4:3,1JOHN 4:4,1JOHN 4:7,1,,
33,"And every spirit that confesseth not that Jesus Christ is come in the flesh is not of God: and this is that spirit of antichrist, whereof ye have heard that it should come; and even now already is it in the world.",1JOHN 4:1,1JOHN 4:3,1JOHN 4:4,1JOHN 4:7,2,,
34,"Ye are of God, little children, and have overcome them: because greater is he that is in you, than he that is in the world.",1JOHN 4:1,1JOHN 4:3,1JOHN 4:4,1JOHN 4:7,3,,
35,"Beloved let us love one another: for love is of God; and every one that loveth is born of God, and knoweth God.",1JOHN 4:1,1JOHN 4:3,1JOHN 4:4,1JOHN 4:7,4,,
36,He that loveth not knoweth not God; for God is love.,1JOHN 4:8,1JOHN 4:9,1JOHN 4:11,1JOHN 4:12,1,,
37,"In this was manifested the love of God toward us, because that God sent his only begotten Son into the world, that we might live through him.",1JOHN 4:8,1JOHN 4:9,1JOHN 4:11,1JOHN 4:12,2,,
38,"Beloved, if God so loved us, we ought also to love one another.",1JOHN 4:8,1JOHN 4:9,1JOHN 4:11,1JOHN 4:12,3,,
39,"No man hath seen God at any time. If we love one another, God dwelleth in us, and his love is perfected in us.",1JOHN 4:8,1JOHN 4:9,1JOHN 4:11,1JOHN 4:12,4,,
40,"Whosoever shall confess that Jesus is the Son of God, God dwelleth in him, and he in God.",1JOHN 4:15,1JOHN 4:17,1JOHN 4:18,1JOHN 4:19,1,,
41,"Herein is our love made perfect, that we may have boldness in the day of judgment: because as he is, so are we in this world.",1JOHN 4:15,1JOHN 4:17,1JOHN 4:18,1JOHN 4:19,2,,
42,There is no fear in love; but perfect love casteth out fear: because fear hath torment. He that feareth is not made perfect in love.,1JOHN 4:15,1JOHN 4:17,1JOHN 4:18,1JOHN 4:19,3,,
43,"We love him, because he first loved us.",1JOHN 4:17,1JOHN 4:18,1JOHN 4:19,1JOHN 4:20,3,,
44,"If a man say, I love God, and hateth his brother, he is a liar: for he that loveth not his brother whom he hath seen, how can he love God whom he hath not seen?",1JOHN 4:17,1JOHN 4:18,1JOHN 4:19,1JOHN 4:20,4,,
45,Whosoever believeth that Jesus is the Christ is born of God: and every one that loveth him that begat loveth him also that is begotten of him.,1JOHN 5:1,1JOHN 5:2,1JOHN 5:3,1JOHN 5:4,1,,
46,"By this we know that we love the children of God, when we love God, and keep his commandments.",1JOHN 5:1,1JOHN 5:2,1JOHN 5:3,1JOHN 5:4,2,,
47,"For this is the love of God, that we keep his commandments: and his commandments are not grievous.",1JOHN 5:1,1JOHN 5:2,1JOHN 5:3,1JOHN 5:4,3,,
48,"For whatsoever is born of God overcometh the world: and this is the victory that overcometh the world, even our faith.",1JOHN 5:1,1JOHN 5:2,1JOHN 5:3,1JOHN 5:4,4,,
49,"For there are three that bear record in heaven, the Father, the Word, and the Holy Ghost: and these three are one.",1JOHN 5:7,1JOHN 5:8,1JOHN 5:10,1JOHN 5:14,1,,
50,"And there are three that bear witness in earth, the Spirit, and the water, and the blood: and these three agree in one.",1JOHN 5:7,1JOHN 5:8,1JOHN 5:10,1JOHN 5:14,2,,
51,He that believeth on the Son of God hath the witness in himself: he that believeth not God hath made him a liar; because he believeth not the record that God gave of his Son.,1JOHN 5:7,1JOHN 5:8,1JOHN 5:10,1JOHN 5:14,3,,
52,"And this is the confidence that we have in him, that, if we ask any thing according to his will, he heareth us:",1JOHN 5:7,1JOHN 5:8,1JOHN 5:10,1JOHN 5:14,4,,
53,All unrighteousness is sin: and there is a sin not unto death.,1JOHN 5:17,1JOHN 5:18,1JOHN 5:19,1JOHN 5:21,1,,
54,"We know that whosoever is born of God sinneth not; but he that is begotten of God keepeth himself, and that wicked one toucheth him not.",1JOHN 5:17,1JOHN 5:18,1JOHN 5:19,1JOHN 5:21,2,,
55,"And we know that we are of God, and the whole world lieth in wickedness.",1JOHN 5:17,1JOHN 5:18,1JOHN 5:19,1JOHN 5:21,3,,
56,"Little children, keep yourselves from idols. Amen.",1JOHN 5:17,1JOHN 5:18,1JOHN 5:19,1JOHN 5:21,4,,
