S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER,
19,"Brethren, I beseech you, be as I am; for I am as ye are: ye have not injured me at all.",GALATIANS 4:1,GALATIANS 4:2,GALATIANS 4:12,GALATIANS 4:19,3,
20,"My little children, of whom I travail in birth again until Christ be formed in you.",GALATIANS 4:1,GALATIANS 4:2,GALATIANS 4:12,GALATIANS 4:19,4,
21,"For it is written, Rejoice; thou barren that bearest not; break forth and cry, thou that travailest not: for the desolate hath many children than she which hath an husband.",GALATIANS 4:12,GALATIANS 4:19,GALATIANS 4:27,GALATIANS 5:1,3,
22,"Stand fast therefore in the liberty wherewith Christ hath made us free, and be not entangled again with the yoke of bondage.",GALATIANS 5:1,GALATIANS 5:6,GALATIANS 5:9,GALATIANS 5:14,1,
23,"For in Jesus Christ neither circumcision availeth any thing, nor uncircumcision; but faith which worketh by love.",GALATIANS 5:1,GALATIANS 5:6,GALATIANS 5:9,GALATIANS 5:14,2,
24,A little leaven leaveneth the whole lump.,GALATIANS 5:1,GALATIANS 5:6,GALATIANS 5:9,GALATIANS 5:14,3,
25,"For all the law is fulfilled in one word, even in this; Thou shalt love thy neighbour as thyself.",GALATIANS 5:1,GALATIANS 5:6,GALATIANS 5:9,GALATIANS 5:14,4,
26,"This I say then, Walk in the Spirit, and ye shall not fulfil the lust of the flesh.",GALATIANS 5:16,GALATIANS 5:17,GALATIANS 5:18,GALATIANS 5:19,1,
27,"For the flesh lusteth against the Spirit, and the Spirit against the flesh: and these are contrary the one to the other: so that ye cannot do the things that ye would.",GALATIANS 5:16,GALATIANS 5:17,GALATIANS 5:18,GALATIANS 5:19,2,
28,"Now the works of the flesh are manifest, which are these; Adultery, fornication, uncleanness, lasciviousness,",GALATIANS 5:16,GALATIANS 5:17,GALATIANS 5:18,GALATIANS 5:19,4,
29,"Idolatry, witchcraft, hatred, variance, emulations, wrath, strife, seditions, heresies,",GALATIANS 5:19,GALATIANS 5:20,GALATIANS 5:21,GALATIANS 5:22,2,
30,"Envyings, murders, drunkenness, revellings, and such like: of the which I tell you before, as I have also told you in time past, that they which do such things shall not inherit the kingdom of God.",GALATIANS 5:19,GALATIANS 5:20,GALATIANS 5:21,GALATIANS 5:22,3,
31,"But the fruit of the Spirit is love, joy, peace, longsuffering, gentleness, goodness, faith,",GALATIANS 5:19,GALATIANS 5:20,GALATIANS 5:21,GALATIANS 5:22,4,
32,"Meekness, temperance: against such there is no law.",GALATIANS 5:22,GALATIANS 5:23,GALATIANS 5:24,GALATIANS 5:25,2,
33,And they that are Christ's have crucified the flesh with the affections and lusts.,GALATIANS 5:22,GALATIANS 5:23,GALATIANS 5:24,GALATIANS 5:25,3,
34,"If we live in the Spirit, let us also walk in the Spirit.",GALATIANS 5:22,GALATIANS 5:23,GALATIANS 5:24,GALATIANS 5:25,4,
35,"Let us not be desirous of vain glory, provoking one another, envying one another.",GALATIANS 5:26,GALATIANS 6:2,GALATIANS 6:3,GALATIANS 6:5,1,
36,"Bear ye one another's burdens, and so fulfil the law of Christ.",GALATIANS 5:26,GALATIANS 6:2,GALATIANS 6:3,GALATIANS 6:5,2,
37,"For if a man think himself to be something, when he is nothing, he deceiveth himself.",GALATIANS 5:26,GALATIANS 6:2,GALATIANS 6:3,GALATIANS 6:5,3,
38,For every man shall bear his own burden.,GALATIANS 5:26,GALATIANS 6:2,GALATIANS 6:3,GALATIANS 6:5,4,
39,Let him that is taught in the word communicate unto him that teacheth in all good things.,GALATIANS 6:6,GALATIANS 6:7,GALATIANS 6:8,GALATIANS 6:9,1,
40,"Be not deceived; God is not mocked: for whatsover a man soweth, that shall he also reap.",GALATIANS 6:6,GALATIANS 6:7,GALATIANS 6:8,GALATIANS 6:9,2,
41,For he that soweth to his flesh shall of the flesh reap corruption: but he that soweth to the Spirit shall of the Spirit reap life everlasting.,GALATIANS 6:6,GALATIANS 6:7,GALATIANS 6:8,GALATIANS 6:9,3,
42,"And let us not be weary in well doing: for in due season we shall reap, if we faint not.",GALATIANS 6:6,GALATIANS 6:7,GALATIANS 6:8,GALATIANS 6:9,4,
43,"As we have therefore opportunity, let us do good unto all men, especially unto them who are of the household of faith.",GALATIANS 6:10,GALATIANS 6:14,GALATIANS 6:15,GALATIANS 6:17,1,
44,"But God forbid that I should glory, save in the cross of our Lord Jesus christ, by whom the world is crucified unto me, and I unto the world.",GALATIANS 6:10,GALATIANS 6:14,GALATIANS 6:15,GALATIANS 6:17,2,
45,"For in Christ Jesus neither circumcision availeth any thing, nor uncircumcision, but a new creature.",GALATIANS 6:10,GALATIANS 6:14,GALATIANS 6:15,GALATIANS 6:17,3,
46,From henceforth let no man trouble me: for I bear in my body the marks of the Lord Jesus.,GALATIANS 6:10,GALATIANS 6:14,GALATIANS 6:15,GALATIANS 6:17,4,
