S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER,,
15,For it is God which worketh in you both to will and to do of his good pleasure.,PHILIPPIANS 2:9,PHILIPPIANS 2:10,PHILIPPIANS 2:11,PHILIPPIANS 2:13,4,,
16,Do all things without murmurings and disputings:,PHILIPPIANS 2:13,PHILIPPIANS 2:14,PHILIPPIANS 2:15,PHILIPPIANS 2:16,2,,
17,"That ye may be blameless and harmless, the sons of God, without rebuke, in the midst of a crooked and perverse nation, among whom ye shine as lights in the world;",PHILIPPIANS 2:13,PHILIPPIANS 2:14,PHILIPPIANS 2:15,PHILIPPIANS 2:16,3,,
18,"Beware of dogs, beware of evil workers, beware of the concision.",PHILIPPIANS 3:2,PHILIPPIANS 3:3,PHILIPPIANS 3:7,PHILIPPIANS 3:8,1,,
19,"For we are the circumcision which worship God in the spirit, and rejoice in Christ Jesus, and have no confidence in the flesh.",PHILIPPIANS 3:2,PHILIPPIANS 3:3,PHILIPPIANS 3:7,PHILIPPIANS 3:8,2,,
20,"But what things were gain to me, those I counted loss for Christ.",PHILIPPIANS 3:2,PHILIPPIANS 3:3,PHILIPPIANS 3:7,PHILIPPIANS 3:8,3,,
21,"Yea doubtless, and I count all things but loss for the excellency of the knowledge of Christ Jesus my Lord: for whom I have suffered the loss of all things, and do count them but dung, that I may win Christ,",PHILIPPIANS 3:2,PHILIPPIANS 3:3,PHILIPPIANS 3:7,PHILIPPIANS 3:8,4,,
22,"That I may know him, and the power of his resurrection, and the fellowship of his sufferings, being made conformable unto his death;",PHILIPPIANS 3:8,PHILIPPIANS 3:10,PHILIPPIANS 3:13,PHILIPPIANS 3:14,2,,
23,"Brethren, I count not myself to have apprehended: but this one thing I do, forgetting those things which are behind, and reaching forth unto those things which are before,",PHILIPPIANS 3:8,PHILIPPIANS 3:10,PHILIPPIANS 3:13,PHILIPPIANS 3:14,3,,
24,I press toward the mark for the prize of the high calling of God in Christ Jesus.,PHILIPPIANS 3:8,PHILIPPIANS 3:10,PHILIPPIANS 3:13,PHILIPPIANS 3:14,4,,
25,"Let us therefore, as many as be perfect, be thus minded: and if in any thing ye be otherwise minded, God shall reveal even this unto you.",PHILIPPIANS 3:13,PHILIPPIANS 3:14,PHILIPPIANS 3:15,PHILIPPIANS 3:20,3,,
26,"For our conversation is in heaven; from whence also we look for the Saviour, the Lord Jesus Christ:",PHILIPPIANS 3:13,PHILIPPIANS 3:14,PHILIPPIANS 3:15,PHILIPPIANS 3:20,4,,
27,"Who shall change our vile body, that it may be fashioned like unto his glorious body, according to the working whereby he is able even to subdue all things unto himself.",PHILIPPIANS 3:21,PHILIPPIANS 4:4,PHILIPPIANS 4:5,PHILIPPIANS 4:6,1,,
28,"Rejoice in the Lord alway: and again I say, Rejoice.",PHILIPPIANS 3:21,PHILIPPIANS 4:4,PHILIPPIANS 4:5,PHILIPPIANS 4:6,2,,
29,Let your moderation be known unto all men. The Lord is at hand.,PHILIPPIANS 3:21,PHILIPPIANS 4:4,PHILIPPIANS 4:5,PHILIPPIANS 4:6,3,,
30,Be careful for nothing; but in every thing by prayer and supplication with thanksgiving let your requests be made known unto God.,PHILIPPIANS 3:21,PHILIPPIANS 4:4,PHILIPPIANS 4:5,PHILIPPIANS 4:6,4,,
31,"And the peace of God, which passeth all understanding, shall keep your hearts and minds through Christ Jesus.",PHILIPPIANS 4:6,PHILIPPIANS 4:7,PHILIPPIANS 4:8,PHILIPPIANS 4:9,2,,
32,"Finally, brethren, whatsover things are true, whatsover things are honest, whatsover things are just, whatsoever things are pure, whatsoever things are lovely, whatsoever things are of good report; if there be any virtue, and if there be any praise, think on these things.",PHILIPPIANS 4:6,PHILIPPIANS 4:7,PHILIPPIANS 4:8,PHILIPPIANS 4:9,3,,
33,"Those things, which ye have both learned, and received, and heard, and seen in me, do: and the God of peace shall be with you.",PHILIPPIANS 4:6,PHILIPPIANS 4:7,PHILIPPIANS 4:8,PHILIPPIANS 4:9,4,,
34,I can do all things through Christ which strengtheneth me.,PHILIPPIANS 4:8,PHILIPPIANS 4:9,PHILIPPIANS 4:13,PHILIPPIANS 4:19,3,,
35,But my God shall supply all your need according to his riches in glory by Christ Jesus.,PHILIPPIANS 4:8,PHILIPPIANS 4:9,PHILIPPIANS 4:13,PHILIPPIANS 4:19,4,,
