S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER
13,"Behold, I stand at the door, and knock: if any man hear my voice, and open the door, I will come in to him, and will sup with him, and he with me.",REVELATION 3:19,REVELATION 3:20,REVELATION 4:8,REVELATION 4:11,2
14,"... Holy, holy, holy, Lord God Almighty, which was, and is, and is to come.",REVELATION 3:19,REVELATION 3:20,REVELATION 4:8,REVELATION 4:11,3
15,"Thou art worthy, O Lord, to receive glory and honour and power; for thou hast created all things, and for thy pleasure they are and were created.",REVELATION 3:19,REVELATION 3:20,REVELATION 4:8,REVELATION 4:11,4
16,"And they overcame him by the blood of the Lamd, and by the word of their testimony; and they loved not their lives unto the death.",REVELATIONS 11:12,REVELATIONS 12:11,REVELATIONS 12:12,REVELATIONS 13:9,2
17,"Therefore rejoice, ye heavens, and ye that dwell in them. Woe to the inhabiters of the earth and of the sea! For the  devil is come down unto you, having great wrath, because he knoweth that he hath but a short time.",REVELATIONS 11:12,REVELATIONS 12:11,REVELATIONS 12:12,REVELATIONS 13:9,3
18,"If any man have an ear, let him hear.",REVELATIONS 12:11,REVELATIONS 12:12,REVELATIONS 13:9,REVELATIONS 13:10,3
19,He that leadeth into captivity shall go into captivity: he that killeth with the sword must be killed with the sword. Here is the patience and the faith of the saint.,REVELATIONS 12:11,REVELATIONS 12:12,REVELATIONS 13:9,REVELATIONS 13:10,4
20,Here is wisdom. Let him that hath understanding count the number of the beast: for it is the number of a man; and his number is Six hundred threescore and six.,REVELATIONS 13:10,REVELATIONS 13:18,REVELATIONS 16:15,REVELATIONS 17:17,2
21,"Behold, I come as a thief. Blessed is he that watcheth, and keepeth his garments, lest he walk naked, and they see his shame.",REVELATIONS 13:10,REVELATIONS 13:18,REVELATIONS 16:15,REVELATIONS 17:17,3
22,"For God hath put in their hearts to fulfil his will, and to agree, and give their kingdom unto the beast, until the words of God shall be fulfilled.",REVELATIONS 13:10,REVELATIONS 13:18,REVELATIONS 16:15,REVELATIONS 17:17,4
23,"And he saith unto me, Write, Blessed are they which are called unto the marriage supper of the Lamb. And he saith unto me, These are the true sayings of God.",REVELATIONS 16:15,REVELATIONS 19:9,REVELATIONS 19:16,REVELATIONS 20:6,2
24,"And he hath on his vesture and on his thigh a name written, KING OF KINGS, AND LORD OF LORDS.",REVELATIONS 16:15,REVELATIONS 19:9,REVELATIONS 19:16,REVELATIONS 20:6,3
25,"Blessed and holy is he that hath part in the first resurrection: on such the second death hath no power, but they shall be priests of God and of Christ, and shall reign with him a thousand years.",REVELATIONS 16:15,REVELATIONS 19:9,REVELATIONS 19:16,REVELATIONS 20:6,4
26,"And I saw the dead, small and great, stand before God; and the books were opened: and another book was opened, which is the book of life: and the dead were judged out of those things which were written in the books, according to their works.",REVELATIONS 20:6,REVELATIONS 20:12,REVELATIONS 20:13,REVELATIONS 20:15,2
27,And the sea gave up the dead which were in it; and death and hell delivered up the dead which were in them: and they were judged every man according to their works.,REVELATIONS 20:6,REVELATIONS 20:12,REVELATIONS 20:13,REVELATIONS 20:15,3
28,And whosoever was not found written in the book of life was cast into the lake of fire.,REVELATIONS 20:6,REVELATIONS 20:12,REVELATIONS 20:13,REVELATIONS 20:15,4
29,"And God shall wipe away all tears from their eyes; and there shall be no more death, neither sorrow, nor crying, neither shall there be any more pain: for the former things are passed away.",REVELATIONS 21:4,REVELATIONS 21:6,REVELATIONS 21:7,REVELATIONS 21:8,1
30,"And he said unto me, It is done. I am Alpha and Omega, the beginning and the end. I will give unto him that is athirst of the fountain of the water of life freely.",REVELATIONS 21:4,REVELATIONS 21:6,REVELATIONS 21:7,REVELATIONS 21:8,2
31,"He that overcometh shall inherit all things; and I will be his God, and he shall be my son.",REVELATIONS 21:4,REVELATIONS 21:6,REVELATIONS 21:7,REVELATIONS 21:8,3
32,"But the fearful, and unbelieving, and the abominable, and murderers, and whoremongers, and sorcerers, and idolaters, and all liard, shall have their part in the lake which burneth with fire and brimstone: which is the second death.",REVELATIONS 21:4,REVELATIONS 21:6,REVELATIONS 21:7,REVELATIONS 21:8,4
33,And the gates of it shall not be shut at all by day: for there shall be no night there.,REVELATIONS 21:8,REVELATIONS 21:25,REVELATIONS 21:27,REVELATIONS 22:7,2
34,"And there shall in no wise enter into it any thing that defileth, neither whatsoever worketh abomination, or maketh a lie: but they which are written in the Lamb's book of life.",REVELATIONS 21:8,REVELATIONS 21:25,REVELATIONS 21:27,REVELATIONS 22:7,3
35,"Behold, I come quickly: blessed is he that keepeth the sayings of the prophecy of this book.",REVELATIONS 21:8,REVELATIONS 21:25,REVELATIONS 21:27,REVELATIONS 22:7,4
36,"He that is unjust, let him be unjust still: and he which is filthy, let him be filthy still: and he that is righteous, let him be righteous still: and he that is holy, let him be holy still.",REVELATIONS 22:11,REVELATIONS 22:12,REVELATIONS 22:13,REVELATIONS 22:14,1
37,"And, behold, I come quickly; and my reward is with me, to give every man according as his work shall be.",REVELATIONS 22:11,REVELATIONS 22:12,REVELATIONS 22:13,REVELATIONS 22:14,2
38,"I am Alpha and Omega, the beginning and the end, the first and the last.",REVELATIONS 22:11,REVELATIONS 22:12,REVELATIONS 22:13,REVELATIONS 22:14,3
39,"Blessed are they that do his commandments, that they may have right to the tree of life, and may enter in through the gates into the city.",REVELATIONS 22:11,REVELATIONS 22:12,REVELATIONS 22:13,REVELATIONS 22:14,4
40,"And the Spirit and the bride say, Come. And let him that heareth  say, Come. And let him that is athirst come. And whosoever will, let him take the water of life freely.",REVELATIONS 22:17,REVELATIONS 22:18,REVELATIONS 22:19,REVELATIONS 22:21,1
41,"For I testify unto every man that heareth the words of the prophecy of this book, If any man shall add unto these things, God shall add unto him the plagues that are written in this book:",REVELATIONS 22:17,REVELATIONS 22:18,REVELATIONS 22:19,REVELATIONS 22:21,2
42,"And if any man shall take away from the words of the book of this prophecy, God shall take away his part out of the book of life, and out of the holy city, and from the things which are written in this book.",REVELATIONS 22:17,REVELATIONS 22:18,REVELATIONS 22:19,REVELATIONS 22:21,3
43,The grace of our Lord Jesus Christ be with you all. Amen.,REVELATIONS 22:17,REVELATIONS 22:18,REVELATIONS 22:19,REVELATIONS 22:21,4
