S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER,,,,,,
26,"And the spirit of the LORD shall rest upon him, the spirit of wisdom and understanding, the spirit of counsel and might, the spirit of knowledge and of the fear of the LORD;",ISAIAH 9:8,ISAIAH 11:2,ISAIAH 12:2,ISAIAH 12:3,2,,,Isa44:6,,,
27,"Behold, God is my salvation; I will trust, and not be afraid: for the LORD JEHOVAH is my strength and my song; he also is become my salvation.",ISAIAH 9:8,ISAIAH 11:2,ISAIAH 12:2,ISAIAH 12:3,3,,,Isa45:2-3,,,
28,Therefore with joy shall ye draw water out of the wells of salvation.,ISAIAH 9:8,ISAIAH 11:2,ISAIAH 12:2,ISAIAH 12:3,4,,,Isa45:7,,,
29,"How art thou fallen from heaven, O Lucifer, son of the morning! how art thou cut down to the ground, which didst weaken the nations!",ISAIAH 14:12,ISAIAH 14:27,ISAIAH 25:1,ISAIAH 25:8,1,,,Isa48:17,,,
30,"For the LORD of hosts hath purposed, and who shall disannul it? and his hand is stretched out, and who shall turn it back?",ISAIAH 14:12,ISAIAH 14:27,ISAIAH 25:1,ISAIAH 25:8,2,,,Isa49:24,,,
31,"O Lord, thou art my God; I will exalt thee, I will praise thy name; for thou hast done wonderful things; thy counsels of old are faithfulness and truth.",ISAIAH 14:12,ISAIAH 14:27,ISAIAH 25:1,ISAIAH 25:8,3,,,Isa49:25,,,
32,He will swallow up death in victory; and the Lord GOD will wipe away tears from off all faces; and the rebuke of his people shall he take away from off all the earth: for the LORD hath spoken it.,ISAIAH 14:12,ISAIAH 14:27,ISAIAH 25:1,ISAIAH 25:8,4,,,Isa49:26,,,
33,Trust ye in the LORD for ever: for in the LORD JEHOVAH is everlasting strength:,ISAIAH 26:4,ISAIAH 26:9,ISAIAH 28:10,ISAIAH 28:16,1,,,Isa50:4,,,
34,"With my soul have I desired thee in the night; yea, with my spirit within me will I seek thee early: for when thy judgments are in the earth, the inhabitants of the world will learn righteousness.",ISAIAH 26:4,ISAIAH 26:9,ISAIAH 28:10,ISAIAH 28:16,2,,,Isa50:7,,,
35,"For precept must be upon precept, precept upon precept; line upon line, line upon line; here a little, and there a little:",ISAIAH 26:4,ISAIAH 26:9,ISAIAH 28:10,ISAIAH 28:16,3,,,Isa53:1,,,
36,"Therefore thus saith the Lord GOD, Behold, I lay in Zion for a foundation a stone, a tried stone, a precious corner stone, a sure foundation: he that believeth shall not make haste.",ISAIAH 26:4,ISAIAH 26:9,ISAIAH 28:10,ISAIAH 28:16,4,,,Isa53:5,,,
37,"For his God doth instruct him to discretion, and doth teach him.",ISAIAH 28:26,ISAIAH 29:15,ISAIAH 30:15,ISAIAH 30:21,1,,,Isa54:15,,,
38,"Woe unto them that seek deep to hide their counsel from the LORD, and their works are in the dark, and they say, Who seeth us? and who knoweth us?",ISAIAH 28:26,ISAIAH 29:15,ISAIAH 30:15,ISAIAH 30:21,2,,,Isa54:17,,,
39,"For thus saith the Lord GOD, the Holy One of Israel; In returning and rest shall ye be saved; in quietness and in confidence shall be your strength: and ye would not.",ISAIAH 28:26,ISAIAH 29:15,ISAIAH 30:15,ISAIAH 30:21,3,,,Isa55:6,,,
40,"And thine ears shall hear a word behind thee, saying, This is the way, walk ye in it, when ye turn to the right hand, and when ye turn to the left.",ISAIAH 28:26,ISAIAH 29:15,ISAIAH 30:15,ISAIAH 30:21,4,,,Isa55:8,,,
41,"Now the Egyptians are men, and not God; and their horses flesh, and not spirit. When the LORD shall stretch out his hand, both he that helpeth shall fall, and he that is holpen shall fall down, and they all shall fail together.",ISAIAH 31:3,ISAIAH 32:8,ISAIAH 33:22,ISAIAH 34:16,1,,,Isa55:9,,,
42,But the liberal deviseth liberal things; and by liberal things shall he stand.,ISAIAH 31:3,ISAIAH 32:8,ISAIAH 33:22,ISAIAH 34:16,2,,,Isa59:1,,,
43,"For the LORD is our judge, the LORD is our lawgiver, the LORD is our king; he will save us.",ISAIAH 31:3,ISAIAH 32:8,ISAIAH 33:22,ISAIAH 34:16,3,,,Isa59:19,,,
44,"Seek ye out of the book of the LORD, and read: no one of these shall fail, none shall want her mate: for my mouth it hath commanded, and his spirit it hath gathered them.",ISAIAH 31:3,ISAIAH 32:8,ISAIAH 33:22,ISAIAH 34:16,4,,,Isa60:1,,,
45,"Say to them that are of a fearful heart, Be strong, fear not: behold, your God will come with vengeance, even God with a recompence; he will come and save you.",ISAIAH 35:4,ISAIAH 35:6,ISAIAH 35:7,ISAIAH 35:8,1,,,Isa61:1,,,
46,"Then shall the lame man leap as an hart, and the tongue of the dumb sing: for in the wilderness shall waters break out, and streams in the desert.",ISAIAH 35:4,ISAIAH 35:6,ISAIAH 35:7,ISAIAH 35:8,2,,,Isa62:3,,,
47,"And the parched ground shall become a pool, and the thirsty land springs of water: in the habitation of dragons, where each lay, shall be grass with reeds and rushes.",ISAIAH 35:4,ISAIAH 35:6,ISAIAH 35:7,ISAIAH 35:8,3,,,Isa64:4,,,
48,"And an highway shall be there, and a way, and it shall be called The way of holiness; the unclean shall not pass over it; but it shall be for those: the wayfaring men, though fools, shall not err therein.",ISAIAH 35:4,ISAIAH 35:6,ISAIAH 35:7,ISAIAH 35:8,4,,,Isa64:6,,,
49,"No lion shall be there, nor any ravenous beast shall go up thereon, it shall not be found there; but the redeemed shall walk there:",ISAIAH 35:9,ISAIAH 35:10,ISAIAH 37:16,ISAIAH 38:18,1,,,Isa66:9,,,
50,"And the ransomed of the LORD shall return, and come to Zion with songs and everlasting joy upon their heads: they shall obtain joy and gladness, and sorrow and sighing shall flee away.",ISAIAH 35:9,ISAIAH 35:10,ISAIAH 37:16,ISAIAH 38:18,2,,,,,,
51,"O LORD of hosts, God of Israel, that dwellest between the cherubims, thou art the God, even thou alone, of all the kingdoms of the earth: thou hast made heaven and earth.",ISAIAH 35:9,ISAIAH 35:10,ISAIAH 37:16,ISAIAH 38:18,3,,,,,,
52,"For the grave cannot praise thee, death can not celebrate thee: they that go down into the pit cannot hope for thy truth.",ISAIAH 35:9,ISAIAH 35:10,ISAIAH 37:16,ISAIAH 38:18,4,,,,,,
53,"The living, the living, he shall praise thee, as I do this day: the father to the children shall make known thy truth.",ISAIAH 38:19,ISAIAH 40:1,ISAIAH 40:5,ISAIAH 40:21,1,,,,,,
54,"Comfort ye, comfort ye my people, saith your God.",ISAIAH 38:19,ISAIAH 40:1,ISAIAH 40:5,ISAIAH 40:21,2,,,,,,
55,"And the glory of the LORD shall be revealed, and all flesh shall see it together: for the mouth of the LORD hath spoken it.",ISAIAH 38:19,ISAIAH 40:1,ISAIAH 40:5,ISAIAH 40:21,3,,,,,,
56,Have ye not known? have ye not heard? hath it not been told you from the beginning? have ye not understood from the foundations of the earth?,ISAIAH 38:19,ISAIAH 40:1,ISAIAH 40:5,ISAIAH 40:21,4,,,,,,
57,"It is he that sitteth upon the circle of the earth, and the inhabitants thereof are as grasshoppers; that stretcheth out the heavens as a curtain, and spreadeth them out as a tent to dwell in:",ISAIAH 40:22,ISAIAH 40:23,ISAIAH 40:28,ISAIAH 40:29,1,,,,,,
58,That bringeth the princes to nothing; he maketh the judges of the earth as vanity.,ISAIAH 40:22,ISAIAH 40:23,ISAIAH 40:28,ISAIAH 40:29,2,,,,,,
59,"Hast thou not known? hast thou not heard, that the everlasting God, the LORD, the Creator of the ends of the earth, fainteth not, neither is weary? there is no searching of his understanding.",ISAIAH 40:22,ISAIAH 40:23,ISAIAH 40:28,ISAIAH 40:29,3,,,,,,
60,He giveth power to the faint; and to them that have no might he increaseth strength.,ISAIAH 40:22,ISAIAH 40:23,ISAIAH 40:28,ISAIAH 40:29,4,,,,,,
61,"Even the youths shall faint and be weary, and the young men shall utterly fall:",ISAIAH 40:30,ISAIAH 40:31,ISAIAH 41:10,ISAIAH 41:11,1,,,,,,
62,"But they that wait upon the LORD shall renew their strength; they shall mount up with wings as eagles; they shall run, and not be weary; and they shall walk, and not faint.",ISAIAH 40:30,ISAIAH 40:31,ISAIAH 41:10,ISAIAH 41:11,2,,,,,,
63,"Fear thou not; for I am with thee: be not dismayed; for I am thy God: I will strengthen thee; yea, I will help thee; yea, I will uphold thee with the right hand of my righteousness.",ISAIAH 40:30,ISAIAH 40:31,ISAIAH 41:10,ISAIAH 41:11,3,,,,,,
64,"Behold, all they that were incensed against thee shall be ashamed and confounded: they shall be as nothing; and they that strive with thee shall perish.",ISAIAH 40:30,ISAIAH 40:31,ISAIAH 41:10,ISAIAH 41:11,4,,,,,,
65,"Thou shalt seek them, and shalt not find them, even them that contended with thee: they that war against thee shall be as nothing, and as a thing of nought.",ISAIAH 41:12,ISAIAH 41:13,ISAIAH 41:15,ISAIAH 41:16,1,,,,,,
66,"For I the LORD thy God will hold thy right hand, saying unto thee, Fear not; I will help thee.",ISAIAH 41:12,ISAIAH 41:13,ISAIAH 41:15,ISAIAH 41:16,2,,,,,,
67,"Behold, I will make thee a new sharp threshing instrument having teeth: thou shalt thresh the mountains, and beat them small, and shalt make the hills as chaff.",ISAIAH 41:12,ISAIAH 41:13,ISAIAH 41:15,ISAIAH 41:16,3,,,,,,
68,"Thou shalt fan them, and the wind shall carry them away, and the whirlwind shall scatter them: and thou shalt rejoice in the LORD, and shalt glory in the Holy One of Israel.",ISAIAH 41:12,ISAIAH 41:13,ISAIAH 41:15,ISAIAH 41:16,4,,,,,,
69,"Thus saith God the LORD, he that created the heavens, and stretched them out; he that spread forth the earth, and that which cometh out of it; he that giveth breath unto the people upon it, and spirit to them that walk therein:",ISAIAH 42:5,ISAIAH 42:8,ISAIAH 43:2,ISAIAH 43:11,1,,,,,,
70,"I am the LORD: that is my name: and my glory will I not give to another, neither my praise to graven images.",ISAIAH 42:5,ISAIAH 42:8,ISAIAH 43:2,ISAIAH 43:11,2,,,,,,
71,"When thou passest through the waters, I will be with thee; and through the rivers, they shall not overflow thee: when thou walkest through the fire, thou shalt not be burned; neither shall the flame kindle upon thee.",ISAIAH 42:5,ISAIAH 42:8,ISAIAH 43:2,ISAIAH 43:11,3,,,,,,
72,"I, even I, am the LORD; and beside me there is no saviour.",ISAIAH 42:5,ISAIAH 42:8,ISAIAH 43:2,ISAIAH 43:11,4,,,,,,
73,"Remember ye not the former things, neither consider the things of old.",ISAIAH 43:18,ISAIAH 43:19,ISAIAH 44:3,ISAIAH 44:6,1,,,,,,
74,"Behold, I will do a new thing; now it shall spring forth; shall ye not know it? I will even make a way in the wilderness, and rivers in the desert.",ISAIAH 43:18,ISAIAH 43:19,ISAIAH 44:3,ISAIAH 44:6,2,,,,,,
75,"For I will pour water upon him that is thirsty, and floods upon the dry ground: I will pour my spirit upon thy seed, and my blessing upon thine offspring:",ISAIAH 43:18,ISAIAH 43:19,ISAIAH 44:3,ISAIAH 44:6,3,,,,,,
76,"Thus saith the LORD the King of Israel, and his redeemer the LORD of hosts; I am the first, and I am the last; and beside me there is no God.",ISAIAH 43:18,ISAIAH 43:19,ISAIAH 44:3,ISAIAH 44:6,4,,,,,,
77,"That frustrateth the tokens of the liars, and maketh diviners mad; that turneth wise men backward, and maketh their knowledge foolish;",ISAIAH 44:25,ISAIAH 44:26,ISAIAH 45:2,ISAIAH 45:3,1,,,,,,
78,"That confirmeth the word of his servant, and performeth the counsel of his messengers; that saith to Jerusalem, Thou shalt be inhabited; and to the cities of Judah, Ye shall be built, and I will raise up the decayed places thereof:",ISAIAH 44:25,ISAIAH 44:26,ISAIAH 45:2,ISAIAH 45:3,2,,,,,,
79,"I will go before thee, and make the crooked places straight: I will break in pieces the gates of brass, and cut in sunder the bars of iron:",ISAIAH 44:25,ISAIAH 44:26,ISAIAH 45:2,ISAIAH 45:3,3,,,,,,
80,"And I will give thee the treasures of darkness, and hidden riches of secret places, that thou mayest know that I, the LORD, which call thee by thy name, am the God of Israel.",ISAIAH 44:25,ISAIAH 44:26,ISAIAH 45:2,ISAIAH 45:3,4,,,,,,
81,"I form the light, and create darkness: I make peace, and create evil: I the LORD do all these things.",ISAIAH 45:7,ISAIAH 45:9,ISAIAH 46:9,ISAIAH 46:10,1,,,,,,
82,"Woe unto him that striveth with his Maker! Let the potsherd strive with the potsherds of the earth. Shall the clay say to him that fashioneth it, What makest thou? or thy work, He hath no hands?",ISAIAH 45:7,ISAIAH 45:9,ISAIAH 46:9,ISAIAH 46:10,2,,,,,,
83,"Remember the former things of old: for I am God, and there is none else; I am God, and there is none like me,",ISAIAH 45:7,ISAIAH 45:9,ISAIAH 46:9,ISAIAH 46:10,3,,,,,,
84,"Declaring the end from the beginning, and from ancient times the things that are not yet done, saying, My counsel shall stand, and I will do all my pleasure:",ISAIAH 45:7,ISAIAH 45:9,ISAIAH 46:9,ISAIAH 46:10,4,,,,,,
85,"As for our redeemer, the LORD of hosts is his name, the Holy One of Israel.",ISAIAH 47:4,ISAIAH 48:9,ISAIAH 48:13,ISAIAH 48:17,1,,,,,,
86,"For my name's sake will I defer mine anger, and for my praise will I refrain for thee, that I cut thee not off.",ISAIAH 47:4,ISAIAH 48:9,ISAIAH 48:13,ISAIAH 48:17,2,,,,,,
87,"Mine hand also hath laid the foundation of the earth, and my right hand hath spanned the heavens: when I call unto them, they stand up together.",ISAIAH 47:4,ISAIAH 48:9,ISAIAH 48:13,ISAIAH 48:17,3,,,,,,
88,"Thus saith the LORD, thy Redeemer, the Holy One of Israel; I am the LORD thy God which teacheth thee to profit, which leadeth thee by the way that thou shouldest go.",ISAIAH 47:4,ISAIAH 48:9,ISAIAH 48:13,ISAIAH 48:17,4,,,,,,
89,"O that thou hadst hearkened to my commandments! then had thy peace been as a river, and thy righteousness as the waves of the sea:",ISAIAH 48:18,ISAIAH 48:22,ISAIAH 49:8,ISAIAH 49:15,1,,,,,,
90,"There is no peace, saith the LORD, unto the wicked.",ISAIAH 48:18,ISAIAH 48:22,ISAIAH 49:8,ISAIAH 49:15,2,,,,,,
91,"Thus saith the LORD, In an acceptable time have I heard thee, and in a day of salvation have I helped thee: and I will preserve thee, and give thee for a covenant of the people, to establish the earth, to cause to inherit the desolate heritages;",ISAIAH 48:18,ISAIAH 48:22,ISAIAH 49:8,ISAIAH 49:15,3,,,,,,
92,"Can a woman forget her sucking child, that she should not have compassion on the son of her womb? yea, they may forget, yet will I not forget thee.",ISAIAH 48:18,ISAIAH 48:22,ISAIAH 49:8,ISAIAH 49:15,4,,,,,,
93,"And kings shall be thy nursing fathers, and their queens thy nursing mothers: they shall bow down to thee with their face toward the earth, and lick up the dust of thy feet; and thou shalt know that I am the LORD: for they shall not be ashamed that wait for me.",ISAIAH 49:23,ISAIAH 49:24,ISAIAH 49:25,ISAIAH 49:26,1,,,,,,
94,"Shall the prey be taken from the mighty, or the lawful captive delivered?",ISAIAH 49:23,ISAIAH 49:24,ISAIAH 49:25,ISAIAH 49:26,2,,,,,,
95,"But thus saith the LORD, Even the captives of the mighty shall be taken away, and the prey of the terrible shall be delivered: for I will contend with him that contendeth with thee, and I will save thy children.",ISAIAH 49:23,ISAIAH 49:24,ISAIAH 49:25,ISAIAH 49:26,3,,,,,,
96,"And I will feed them that oppress thee with their own flesh; and they shall be drunken with their own blood, as with sweet wine: and all flesh shall know that I the LORD am thy Saviour and thy Redeemer, the mighty One of Jacob.",ISAIAH 49:23,ISAIAH 49:24,ISAIAH 49:25,ISAIAH 49:26,4,,,,,,
97,"The Lord GOD hath given me the tongue of the learned, that I should know how to speak a word in season to him that is weary: he wakeneth morning by morning, he wakeneth mine ear to hear as the learned.",ISAIAH 50:4,ISAIAH 50:5,ISAIAH 50:7,ISAIAH 50:8,1,,,,,,
98,"The Lord GOD hath opened mine ear, and I was not rebellious, neither turned away back.",ISAIAH 50:4,ISAIAH 50:5,ISAIAH 50:7,ISAIAH 50:8,2,,,,,,
99,"For the Lord GOD will help me; therefore shall I not be confounded: therefore have I set my face like a flint, and I know that I shall not be ashamed.",ISAIAH 50:4,ISAIAH 50:5,ISAIAH 50:7,ISAIAH 50:8,3,,,,,,
100,He is near that justifieth me; who will contend with me? let us stand together: who is mine adversary? let him come near to me.,ISAIAH 50:4,ISAIAH 50:5,ISAIAH 50:7,ISAIAH 50:8,4,,,,,,
101,"Behold, the Lord GOD will help me; who is he that shall condemn me? lo, they all shall wax old as a garment; the moth shall eat them up.",ISAIAH 50:9,ISAIAH 51:12,ISAIAH 52:7,ISAIAH 52:11,1,,,,,,
102,"I, even I, am he that comforteth you: who art thou, that thou shouldest be afraid of a man that shall die, and of the son of man which shall be made as grass;",ISAIAH 50:9,ISAIAH 51:12,ISAIAH 52:7,ISAIAH 52:11,2,,,,,,
103,"How beautiful upon the mountains are the feet of him that bringeth good tidings, that publisheth peace; that bringeth good tidings of good, that publisheth salvation; that saith unto Zion, Thy God reigneth!",ISAIAH 50:9,ISAIAH 51:12,ISAIAH 52:7,ISAIAH 52:11,3,,,,,,
104,"Depart ye, depart ye, go ye out from thence, touch no unclean thing; go ye out of the midst of her; be ye clean, that bear the vessels of the LORD.",ISAIAH 50:9,ISAIAH 51:12,ISAIAH 52:7,ISAIAH 52:11,4,,,,,,
105,"For ye shall not go out with haste, nor go by flight: for the LORD will go before you; and the God of Israel will be your rereward.",ISAIAH 52:12,ISAIAH 53:1,ISAIAH 53:5,ISAIAH 53:6,1,,,,,,
106,Who hath believed our report? and to whom is the arm of the LORD revealed?,ISAIAH 52:12,ISAIAH 53:1,ISAIAH 53:5,ISAIAH 53:6,2,,,,,,
107,"But he was wounded for our transgressions, he was bruised for our iniquities: the chastisement of our peace was upon him; and with his stripes we are healed.",ISAIAH 52:12,ISAIAH 53:1,ISAIAH 53:5,ISAIAH 53:6,3,,,,,,
108,All we like sheep have gone astray; we have turned every one to his own way; and the LORD hath laid on him the iniquity of us all.,ISAIAH 52:12,ISAIAH 53:1,ISAIAH 53:5,ISAIAH 53:6,4,,,,,,
109,"He was oppressed, and he was afflicted, yet he opened not his mouth: he is brought as a lamb to the slaughter, and as a sheep before her shearers is dumb, so he openeth not his mouth.",ISAIAH 53:7,ISAIAH 54:1,ISAIAH 54:13,ISAIAH 54:14,1,,,,,,
110,"Sing, O barren, thou that didst not bear; break forth into singing, and cry aloud, thou that didst not travail with child: for more are the children of the desolate than the children of the married wife, saith the LORD.",ISAIAH 53:7,ISAIAH 54:1,ISAIAH 54:13,ISAIAH 54:14,2,,,,,,
111,And all thy children shall be taught of the LORD; and great shall be the peace of thy children.,ISAIAH 53:7,ISAIAH 54:1,ISAIAH 54:13,ISAIAH 54:14,3,,,,,,
112,In righteousness shalt thou be established: thou shalt be far from oppression; for thou shalt not fear: and from terror; for it shall not come near thee.,ISAIAH 53:7,ISAIAH 54:1,ISAIAH 54:13,ISAIAH 54:14,4,,,,,,
113,"Behold, they shall surely gather together, but not by me: whosoever shall gather together against thee shall fall for thy sake.",ISAIAH 54:15,ISAIAH 54:16,ISAIAH 54:17,ISAIAH 55:1,1,,,,,,
114,"Behold, I have created the smith that bloweth the coals in the fire, and that bringeth forth an instrument for his work; and I have created the waster to destroy.",ISAIAH 54:15,ISAIAH 54:16,ISAIAH 54:17,ISAIAH 55:1,2,,,,,,
115,"No weapon that is formed against thee shall prosper; and every tongue that shall rise against thee in judgment thou shalt condemn. This is the heritage of the servants of the LORD, and their righteousness is of me, saith the LORD.",ISAIAH 54:15,ISAIAH 54:16,ISAIAH 54:17,ISAIAH 55:1,3,,,,,,
116,"Ho, every one that thirsteth, come ye to the waters, and he that hath no money; come ye, buy, and eat; yea, come, buy wine and milk without money and without price.",ISAIAH 54:15,ISAIAH 54:16,ISAIAH 54:17,ISAIAH 55:1,4,,,,,,
117,"Incline your ear, and come unto me: hear, and your soul shall live; and I will make an everlasting covenant with you, even the sure mercies of David.",ISAIAH 55:3,ISAIAH 55:5,ISAIAH 55:6,ISAIAH 55:7,1,,,,,,
118,"Behold, thou shalt call a nation that thou knowest not, and nations that knew not thee shall run unto thee because of the LORD thy God, and for the Holy One of Israel; for he hath glorified thee.",ISAIAH 55:3,ISAIAH 55:5,ISAIAH 55:6,ISAIAH 55:7,2,,,,,,
119,"Seek ye the LORD while he may be found, call ye upon him while he is near:",ISAIAH 55:3,ISAIAH 55:5,ISAIAH 55:6,ISAIAH 55:7,3,,,,,,
120,"Let the wicked forsake his way, and the unrighteous man his thoughts: and let him return unto the LORD, and he will have mercy upon him; and to our God, for he will abundantly pardon.",ISAIAH 55:3,ISAIAH 55:5,ISAIAH 55:6,ISAIAH 55:7,4,,,,,,
121,"For my thoughts are not your thoughts, neither are your ways my ways, saith the LORD.",ISAIAH 55:8,ISAIAH 55:9,ISAIAH 55:10,ISAIAH 55:11,1,,,,,,
122,"For as the heavens are higher than the earth, so are my ways higher than your ways, and my thoughts than your thoughts.",ISAIAH 55:8,ISAIAH 55:9,ISAIAH 55:10,ISAIAH 55:11,2,,,,,,
123," For as the rain cometh down, and the snow from heaven, and returneth not thither, but watereth the earth, and maketh it bring forth and bud, that it may give seed to the sower, and bread to the eater:",ISAIAH 55:8,ISAIAH 55:9,ISAIAH 55:10,ISAIAH 55:11,3,,,,,,
124," So shall my word be that goeth forth out of my mouth: it shall not return unto me void, but it shall accomplish that which I please, and it shall prosper in the thing whereto I sent it.",ISAIAH 55:8,ISAIAH 55:9,ISAIAH 55:10,ISAIAH 55:11,4,,,,,,
125," For ye shall go out with joy, and be led forth with peace: the mountains and the hills shall break forth before you into singing, and all the trees of the field shall clap their hands.",ISAIAH 55:12,ISAIAH 55:13,ISAIAH 56:7,ISAIAH 57:1,1,,,,,,
126," Instead of the thorn shall come up the fir tree, and instead of the brier shall come up the myrtle tree: and it shall be to the LORD for a name, for an everlasting sign that shall not be cut off.",ISAIAH 55:12,ISAIAH 55:13,ISAIAH 56:7,ISAIAH 57:1,2,,,,,,
127,"Even them will I bring to my holy mountain, and make them joyful in my house of prayer: their burnt offerings and their sacrifices shall be accepted upon mine altar; for mine house shall be called an house of prayer for all people.",ISAIAH 55:12,ISAIAH 55:13,ISAIAH 56:7,ISAIAH 57:1,3,,,,,,
128,"The righteous perisheth, and no man layeth it to heart: and merciful men are taken away, none considering that the righteous is taken away from the evil to come.",ISAIAH 55:12,ISAIAH 55:13,ISAIAH 56:7,ISAIAH 57:1,4,,,,,,
