S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER
38,For the wages of sin is death; but the gift of God is eternal life through Jesus Christ our Lord.,ROMANS 6:16,ROMANS 6:23,ROMANS 7:5,ROMANS 7:6,2
39,"For when we were in the flesh, the motions of sins, which were by the law, did work in our members to bring forth fruit unto death.",ROMANS 6:16,ROMANS 6:23,ROMANS 7:5,ROMANS 7:6,3
40,"But now we are delivered from the law, that being dead wherein we were held; that we should serve in newness of spirit, and not in the oldness of the letter.",ROMANS 6:16,ROMANS 6:23,ROMANS 7:5,ROMANS 7:6,4
41,"For sin, taking occasion by the commandment, deceived me, and by it slew me.",ROMANS 7:11,ROMANS 7:15,ROMANS 7:18,ROMANS 7:23,1
42,"For that which I do I allow not: for what I would, that do I not; but what I hate, that do I.",ROMANS 7:11,ROMANS 7:15,ROMANS 7:18,ROMANS 7:23,2
43,"For I know that in me (that is, in my flesh,) dwelleth no good thing: for to will is present with me; but how to perform that which is good I find not.",ROMANS 7:11,ROMANS 7:15,ROMANS 7:18,ROMANS 7:23,3
44,"But I see another law in my members, warring against the law of my mind, and bringing me into captivity to the law of sin which is in my members.",ROMANS 7:11,ROMANS 7:15,ROMANS 7:18,ROMANS 7:23,4
45,"There is therefore now no condemnation to them which are in Christ Jesus, who walk not after the flesh, but after the Spirit.",ROMANS 8:1,ROMANS 8:2,ROMANS 8:3,ROMANS 8:5,1
46,For the law of the Spirit of life in Christ Jesus hath made me free from the law of sin and death.,ROMANS 8:1,ROMANS 8:2,ROMANS 8:3,ROMANS 8:5,2
47,"For what the law could not do, in that it was weak through the flesh, God sending his own Son in the likeness of sinful flesh, and for sin, condemned sin in the flesh:",ROMANS 8:1,ROMANS 8:2,ROMANS 8:3,ROMANS 8:5,3
48,For they that are after the flesh do mind the things of the flesh; but they that are after the Spirit the things of the Spirit.,ROMANS 8:1,ROMANS 8:2,ROMANS 8:3,ROMANS 8:5,4
49,For to be carnally minded is death; but to be spiritually minded is life and peace.,ROMANS 8:6,ROMANS 8:8,ROMANS 8:9,ROMANS 8:10,1
50,So then they that are in the flesh cannot please God.,ROMANS 8:6,ROMANS 8:8,ROMANS 8:9,ROMANS 8:10,2
51,"But ye are not in the flesh, but in the Spirit, if so be that the Spirit of God dwell in you. Now if any man have not the Spirit of Christ, he is none of his.",ROMANS 8:6,ROMANS 8:8,ROMANS 8:9,ROMANS 8:10,3
52,"And if Christ be in you, the body is dead because of sin; but the Spirit is life because of righteousness.",ROMANS 8:6,ROMANS 8:8,ROMANS 8:9,ROMANS 8:10,4
53,"But if the Spirit of him that raised up Jesus from the dead dwell in you, he that raised up Christ from the dead shall also quicken your mortal bodies by his Spirit that dwelleth in you.",ROMANS 8:11,ROMANS 8:13,ROMANS 8:14,ROMANS 8:15,1
54,"For if ye live after the flesh, ye shall die: but if ye through the Spirit do mortify the deeds of the body, ye shall live.",ROMANS 8:11,ROMANS 8:13,ROMANS 8:14,ROMANS 8:15,2
55,"For as many as are led by the Spirit of God, they are the sons of God.",ROMANS 8:11,ROMANS 8:13,ROMANS 8:14,ROMANS 8:15,3
56,"For ye have not received the spirit of bondage again to fear; but ye have received the Spirit of adoption, whereby we cry, Abba, Father.",ROMANS 8:11,ROMANS 8:13,ROMANS 8:14,ROMANS 8:15,4
57,"The Spirit itself beareth witness with our spirit, that we are the children of God:",ROMANS 8:16,ROMANS 8:18,ROMANS 8:19,ROMANS 8:22,1
58,For I reckon that the sufferings of this present time are not worthy to be compared with the glory which shall be revealed in us.,ROMANS 8:16,ROMANS 8:18,ROMANS 8:19,ROMANS 8:22,2
59,For the earnest expectation of the creature waiteth for the manifestation of the sons of God.,ROMANS 8:16,ROMANS 8:18,ROMANS 8:19,ROMANS 8:22,3
60,For we know that the whole creation groaneth and travaileth in pain together until now.,ROMANS 8:16,ROMANS 8:18,ROMANS 8:19,ROMANS 8:22,4
61,"For we are saved by hope: but hope that is seen is not hope: for what a man seeth, why doth he yet hope for?",ROMANS 8:24,ROMANS 8:25,ROMANS 8:26,ROMANS 8:27,1
62,"But if we hope for that we see not, then do we with patience wait for it.",ROMANS 8:24,ROMANS 8:25,ROMANS 8:26,ROMANS 8:27,2
63,Likewise the Spirit also helpeth our infirmities: for we know not what we should pray for as we ought: but the Spirit itself maketh intercession for us with groanings which cannot be uttered.,ROMANS 8:24,ROMANS 8:25,ROMANS 8:26,ROMANS 8:27,3
64,"And he that searcheth the hearts knoweth what is the mind of the Spirit, because he maketh intercession for the saints according to the will of God.",ROMANS 8:24,ROMANS 8:25,ROMANS 8:26,ROMANS 8:27,4
65,"And we know that all things work together for good to them that love God, to them who are the called according to his purpose.",ROMANS 8:28,ROMANS 8:29,ROMANS 8:30,ROMANS 8:31,1
66,"For whom he did foreknow, he also did predestinate to be conformed to the image of his Son, that he might be the firstborn among many brethren.",ROMANS 8:28,ROMANS 8:29,ROMANS 8:30,ROMANS 8:31,2
67,"Moreover whom he did predestinate, them he also called: and whom he called, them he also justified: and whom he justified, them he also glorified.",ROMANS 8:28,ROMANS 8:29,ROMANS 8:30,ROMANS 8:31,3
68,"What shall we then say to these things? If God be for us, who can be against us?",ROMANS 8:28,ROMANS 8:29,ROMANS 8:30,ROMANS 8:31,4
69,Who shall lay any thing to the charge of God's elect? It is God that justifieth.,ROMANS 8:33,ROMANS 8:34,ROMANS 8:35,ROMANS 8:37,1
70,"Who is he that condemneth? It is Christ that died, yea rather, that is risen again, who is even at the right hand of God, who also maketh intercession for us.",ROMANS 8:33,ROMANS 8:34,ROMANS 8:35,ROMANS 8:37,2
71,"Who shall separate us from the love of Christ? shall tribulation, or distress, or persecution, or famine, or nakedness, or peril, or sword?",ROMANS 8:33,ROMANS 8:34,ROMANS 8:35,ROMANS 8:37,3
72,"Nay, in all these things we are more than conquerors through him that loved us.",ROMANS 8:33,ROMANS 8:34,ROMANS 8:35,ROMANS 8:37,4
73,"For I am persuaded, that neither death, nor life, nor angels, nor principalities, nor powers, nor things present, nor things to come,",ROMANS 8:38,ROMANS 8:39,ROMANS 9:13,ROMANS 9:15,1
74,"Nor height, nor depth, nor any other creature, shall be able to separate us from the love of God, which is in Christ Jesus our Lord.",ROMANS 8:38,ROMANS 8:39,ROMANS 9:13,ROMANS 9:15,2
75,"As it is written, Jacob have I loved, but Esau have I hated.",ROMANS 8:38,ROMANS 8:39,ROMANS 9:13,ROMANS 9:15,3
76,"For he saith to Moses, I will have mercy on whom I will have mercy, and I will have compassion on whom I will have compassion.",ROMANS 8:38,ROMANS 8:39,ROMANS 9:13,ROMANS 9:15,4
77,"So then it is not of him that willeth, nor of him that runneth, but of God that sheweth mercy.",ROMANS 9:16,ROMANS 9:17,ROMANS 9:20,ROMANS 9:33,1
78,"For the scripture saith unto Pharaoh, Even for this same purpose have I raised thee up, that I might shew my power in thee, and that my name might be declared throughout all the earth.",ROMANS 9:16,ROMANS 9:17,ROMANS 9:20,ROMANS 9:33,2
79,"Nay but, O man, who art thou that repliest against God? Shall the thing formed say to him that formed it, Why hast thou made me thus?",ROMANS 9:16,ROMANS 9:17,ROMANS 9:20,ROMANS 9:33,3
80,"As it is written, Behold, I lay in Sion a stumblingstone and rock of offence: and whosoever believeth on him shall not be ashamed.",ROMANS 9:16,ROMANS 9:17,ROMANS 9:20,ROMANS 9:33,4
81,For Christ is the end of the law for righteousness to every one that believeth.,ROMANS 10:4,ROMANS 10:6,ROMANS 10:7,ROMANS 10:8,1
82,"But the righteousness which is of faith speaketh on this wise, Say not in thine heart, Who shall ascend into heaven? (that is, to bring Christ down from above:)",ROMANS 10:4,ROMANS 10:6,ROMANS 10:7,ROMANS 10:8,2
83,"Or, Who shall descend into the deep? (that is, to bring up Christ again from the dead.)",ROMANS 10:4,ROMANS 10:6,ROMANS 10:7,ROMANS 10:8,3
84,"But what saith it? The word is nigh thee, even in thy mouth, and in thy heart: that is, the word of faith, which we preach;",ROMANS 10:4,ROMANS 10:6,ROMANS 10:7,ROMANS 10:8,4
85,"That if thou shalt confess with thy mouth the Lord Jesus, and shalt believe in thine heart that God hath raised him from the dead, thou shalt be saved.",ROMANS 10:9,ROMANS 10:10,ROMANS 10:11,ROMANS 10:13,1
86,For with the heart man believeth unto righteousness; and with the mouth confession is made unto salvation.,ROMANS 10:9,ROMANS 10:10,ROMANS 10:11,ROMANS 10:13,2
87,"For the scripture saith, Whosoever believeth on him shall not be ashamed.",ROMANS 10:9,ROMANS 10:10,ROMANS 10:11,ROMANS 10:13,3
88,For whosoever shall call upon the name of the Lord shall be saved.,ROMANS 10:9,ROMANS 10:10,ROMANS 10:11,ROMANS 10:13,4
89,How then shall they call on him in whom they have not believed? and how shall they believe in him of whom they have not heard? and how shall they hear without a preacher?,ROMANS 10:14,ROMANS 10:15,ROMANS 10:17,ROMANS 11:12,1
90,"And how shall they preach, except they be sent? as it is written, How beautiful are the feet of them that preach the gospel of peace, and bring glad tidings of good things!",ROMANS 10:14,ROMANS 10:15,ROMANS 10:17,ROMANS 11:12,2
91,"So then faith cometh by hearing, and hearing by the word of God.",ROMANS 10:14,ROMANS 10:15,ROMANS 10:17,ROMANS 11:12,3
92,"Now if the fall of them be the riches of the world, and the diminishing of them the riches of the Gentiles; how much more their fulness?",ROMANS 10:14,ROMANS 10:15,ROMANS 10:17,ROMANS 11:12,4
93,"For if the casting away of them be the reconciling of the world, what shall the receiving of them be, but life from the dead?",ROMANS 11:15,ROMANS 11:21,ROMANS 11:25,ROMANS 11:29,1
94,"For if God spared not the natural branches, take heed lest he also spare not thee.",ROMANS 11:15,ROMANS 11:21,ROMANS 11:25,ROMANS 11:29,2
95,"For I would not, brethren, that ye should be ignorant of this mystery, lest ye should be wise in your own conceits; that blindness in part is happened to Israel, until the fulness of the Gentiles be come in.",ROMANS 11:15,ROMANS 11:21,ROMANS 11:25,ROMANS 11:29,3
96,For the gifts and calling of God are without repentance.,ROMANS 11:15,ROMANS 11:21,ROMANS 11:25,ROMANS 11:29,4
97,"For God hath concluded them all in unbelief, that he might have mercy upon all.",ROMANS 11:32,ROMANS 11:33,ROMANS 11:34,ROMANS 11:36,1
98,"O the depth of the riches both of the wisdom and knowledge of God! how unsearchable are his judgments, and his ways past finding out!",ROMANS 11:32,ROMANS 11:33,ROMANS 11:34,ROMANS 11:36,2
99,For who hath known the mind of the Lord? or who hath been his counsellor?,ROMANS 11:32,ROMANS 11:33,ROMANS 11:34,ROMANS 11:36,3
100,"For of him, and through him, and to him, are all things: to whom be glory for ever. Amen",ROMANS 11:32,ROMANS 11:33,ROMANS 11:34,ROMANS 11:36,4
101,"I beseech you therefore, brethren, by the mercies of God, that ye present your bodies a living sacrifice, holy, acceptable unto God, which is your reasonable service.",ROMANS 12:1,ROMANS 12:2,ROMANS 12:3,ROMANS 12:6,1
102,"And be not conformed to this world: but be ye transformed by the renewing of your mind, that ye may prove what is that good, and acceptable, and perfect, will of God.",ROMANS 12:1,ROMANS 12:2,ROMANS 12:3,ROMANS 12:6,2
103,"For I say, through the grace given unto me, to every man that is among you, not to think of himself more highly than he ought to think; but to think soberly, according as God hath dealt to every man the measure of faith.",ROMANS 12:1,ROMANS 12:2,ROMANS 12:3,ROMANS 12:6,3
104,"Having then gifts differing according to the grace that is given to us, whether prophecy, let us prophesy according to the proportion of faith;",ROMANS 12:1,ROMANS 12:2,ROMANS 12:3,ROMANS 12:6,4
105,Let love be without dissimulation. Abhor that which is evil; cleave to that which is good.,ROMANS 12:9,ROMANS 12:10,ROMANS 12:11,ROMANS 12:12,1
106,Be kindly affectioned one to another with brotherly love; in honour preferring one another;,ROMANS 12:9,ROMANS 12:10,ROMANS 12:11,ROMANS 12:12,2
107,Not slothful in business; fervent in spirit; serving the Lord;,ROMANS 12:9,ROMANS 12:10,ROMANS 12:11,ROMANS 12:12,3
108,Rejoicing in hope; patient in tribulation; continuing instant in prayer;,ROMANS 12:9,ROMANS 12:10,ROMANS 12:11,ROMANS 12:12,4
109,Distributing to the necessity of saints; given to hospitality.,ROMANS 12:13,ROMANS 12:14,ROMANS 12:15,ROMANS 12:16,1
110,"Bless them which persecute you: bless, and curse not.",ROMANS 12:13,ROMANS 12:14,ROMANS 12:15,ROMANS 12:16,2
111,"Rejoice with them that do rejoice, and weep with them that weep.",ROMANS 12:13,ROMANS 12:14,ROMANS 12:15,ROMANS 12:16,3
112,"Be of the same mind one toward another. Mind not high things, but condescend to men of low estate. Be not wise in your own conceits.",ROMANS 12:13,ROMANS 12:14,ROMANS 12:15,ROMANS 12:16,4
113,Recompense to no man evil for evil. Provide things honest in the sight of all men.,ROMANS 12:17,ROMANS 12:18,ROMANS 12:19,ROMANS 12:20,1
114,"If it be possible, as much as lieth in you, live peaceably with all men.",ROMANS 12:17,ROMANS 12:18,ROMANS 12:19,ROMANS 12:20,2
115,"Dearly beloved, avenge not yourselves, but rather give place unto wrath: for it is written, Vengeance is mine; I will repay, saith the Lord.",ROMANS 12:17,ROMANS 12:18,ROMANS 12:19,ROMANS 12:20,3
116,"Therefore if thine enemy hunger, feed him; if he thirst, give him drink: for in so doing thou shalt heap coals of fire on his head.",ROMANS 12:17,ROMANS 12:18,ROMANS 12:19,ROMANS 12:20,4
117,"Be not overcome of evil, but overcome evil with good.",ROMANS 12:21,ROMANS 13:1,ROMANS 13:2,ROMANS 13:7,1
118,Let every soul be subject unto the higher powers. For there is no power but of God: the powers that be are ordained of God.,ROMANS 12:21,ROMANS 13:1,ROMANS 13:2,ROMANS 13:7,2
119,"Whosoever therefore resisteth the power, resisteth the ordinance of God: and they that resist shall receive to themselves damnation.",ROMANS 12:21,ROMANS 13:1,ROMANS 13:2,ROMANS 13:7,3
120,Render therefore to all their dues: tribute to whom tribute is due; custom to whom custom; fear to whom fear; honour to whom honour.,ROMANS 12:21,ROMANS 13:1,ROMANS 13:2,ROMANS 13:7,4
121,"Owe no man any thing, but to love one another: for he that loveth another hath fulfilled the law.",ROMANS 13:8,ROMANS 13:9,ROMANS 13:10,ROMANS 13:11,1
122,"For this, Thou shalt not commit adultery, Thou shalt not kill, Thou shalt not steal, Thou shalt not bear false witness, Thou shalt not covet; and if there be any other commandment, it is briefly comprehended in this saying, namely, Thou shalt love thy neighbour as thyself.",ROMANS 13:8,ROMANS 13:9,ROMANS 13:10,ROMANS 13:11,2
123,Love worketh no ill to his neighbour: therefore love is the fulfilling of the law.,ROMANS 13:8,ROMANS 13:9,ROMANS 13:10,ROMANS 13:11,3
124,"And that, knowing the time, that now it is high time to awake out of sleep: for now is our salvation nearer than when we believed.",ROMANS 13:8,ROMANS 13:9,ROMANS 13:10,ROMANS 13:11,4
125,"The night is far spent, the day is at hand: let us therefore cast off the works of darkness, and let us put on the armour of light.",ROMANS 13:12,ROMANS 13:13,ROMANS 13:14,ROMANS 14:5,1
126,"Let us walk honestly, as in the day; not in rioting and drunkenness, not in chambering and wantonness, not in strife and envying.",ROMANS 13:12,ROMANS 13:13,ROMANS 13:14,ROMANS 14:5,2
127,"But put ye on the Lord Jesus Christ, and make not provision for the flesh, to fulfil the lusts thereof.",ROMANS 13:12,ROMANS 13:13,ROMANS 13:14,ROMANS 14:5,3
128,One man esteemeth one day above another: another esteemeth every day alike. Let every man be fully persuaded in his own mind.,ROMANS 13:12,ROMANS 13:13,ROMANS 13:14,ROMANS 14:5,4
129,"For whether we live, we live unto the Lord; and whether we die, we die unto the Lord: whether we live therefore, or die, we are the Lord's.",ROMANS 14:8,ROMANS 14:9,ROMANS 14:11,ROMANS 14:12,1
130,"For to this end Christ both died, and rose, and revived, that he might be Lord both of the dead and living.",ROMANS 14:8,ROMANS 14:9,ROMANS 14:11,ROMANS 14:12,2
131,"For it is written, As I live, saith the Lord, every knee shall bow to me, and every tongue shall confess to God.",ROMANS 14:8,ROMANS 14:9,ROMANS 14:11,ROMANS 14:12,3
132,So then every one of us shall give account of himself to God.,ROMANS 14:8,ROMANS 14:9,ROMANS 14:11,ROMANS 14:12,4
133,"Let us not therefore judge one another any more: but judge this rather, that no man put a stumblingblock or an occasion to fall in his brother's way.",ROMANS 14:13,ROMANS 14:16,ROMANS 14:17,ROMANS 14:19,1
134,Let not then your good be evil spoken of:,ROMANS 14:13,ROMANS 14:16,ROMANS 14:17,ROMANS 14:19,2
135,"For the kingdom of God is not meat and drink; but righteousness, and peace, and joy in the Holy Ghost.",ROMANS 14:13,ROMANS 14:16,ROMANS 14:17,ROMANS 14:19,3
136,"Let us therefore follow after the things which make for peace, and things wherewith one may edify another.",ROMANS 14:13,ROMANS 14:16,ROMANS 14:17,ROMANS 14:19,4
137,For meat destroy not the work of God. All things indeed are pure; but it is evil for that man who eateth with offence.,ROMANS 14:20,ROMANS 14:21,ROMANS 14:22,ROMANS 14:23,1
138,"It is good neither to eat flesh, nor to drink wine, nor any thing whereby thy brother stumbleth, or is offended, or is made weak.",ROMANS 14:20,ROMANS 14:21,ROMANS 14:22,ROMANS 14:23,2
139,Hast thou faith? have it to thyself before God. Happy is he that condemneth not himself in that thing which he alloweth.,ROMANS 14:20,ROMANS 14:21,ROMANS 14:22,ROMANS 14:23,3
140,"And he that doubteth is damned if he eat, because he eateth not of faith: for whatsoever is not of faith is sin.",ROMANS 14:20,ROMANS 14:21,ROMANS 14:22,ROMANS 14:23,4
141,"We then that are strong ought to bear the infirmities of the weak, and not to please ourselves.",ROMANS 15:1,ROMANS 15:2,ROMANS 15:4,ROMANS 15:13,1
142,Let every one of us please his neighbour for his good to edification.,ROMANS 15:1,ROMANS 15:2,ROMANS 15:4,ROMANS 15:13,2
143,"For whatsoever things were written aforetime were written for our learning, that we through patience and comfort of the scriptures might have hope.",ROMANS 15:1,ROMANS 15:2,ROMANS 15:4,ROMANS 15:13,3
144,"Now the God of hope fill you with all joy and peace in believing, that ye may abound in hope, through the power of the Holy Ghost.",ROMANS 15:1,ROMANS 15:2,ROMANS 15:4,ROMANS 15:13,4
145,"Now I beseech you, brethren, mark them which cause divisions and offences contrary to the doctrine which ye have learned; and avoid them.",ROMANS 15:4,ROMANS 15:13,ROMANS 16:17,ROMANS 16:20,3
146,And the God of peace shall bruise Satan under your feet shortly. The grace of our Lord Jesus Christ be with you. Amen.,ROMANS 15:4,ROMANS 15:13,ROMANS 16:17,ROMANS 16:20,4
